year,state,sum_occur,sum_arr,murder_o,murder_arr,robbery_o,robbery_a,harassment_o,harassment_a,theft_o,theft_a,violent_o,violent_a,population,rate
2015,강남구,8617,5732,13,10,21,18,449,349,3850,1650,4284,3705,581760,0.8617
2015,강동구,5244,3171,4,3,6,8,156,123,2366,789,2712,2248,463321,0.5244
2015,강북구,4257,3113,7,8,14,13,153,126,1434,618,2649,2348,334426,0.4257
2015,강서구,5585,4190,7,8,13,13,262,191,2096,1260,3207,2718,595691,0.5585
2015,관악구,6345,3712,9,8,12,14,320,221,2706,827,3298,2642,529031,0.6345
2015,광진구,5909,3707,4,4,14,26,240,220,3026,1277,2625,2180,375180,0.5909
2015,구로구,5646,3502,8,6,15,11,281,164,2335,889,3007,2432,454604,0.5646
2015,금천구,3781,2796,3,4,6,6,151,122,1567,888,2054,1776,256167,0.3781
2015,노원구,5130,3268,10,10,7,7,197,121,2193,801,2723,2329,578221,0.513
2015,도봉구,2664,1900,3,3,9,10,102,106,1063,478,1487,1303,353241,0.2664
2015,동대문구,4720,3205,5,5,13,13,173,146,1981,814,2548,2227,373824,0.472
2015,동작구,4074,2397,5,5,9,5,285,139,1865,661,1910,1587,412774,0.4074
2015,마포구,5854,3597,8,8,14,10,294,247,2555,813,2983,2519,398351,0.5854
2015,서대문구,4029,2579,2,2,5,4,154,124,1812,738,2056,1711,323105,0.4029
2015,서초구,5444,3450,8,6,9,6,393,249,2635,1091,2399,2098,451258,0.5444
2015,성동구,3358,2123,4,4,9,8,126,119,1607,597,1612,1395,305065,0.3358
2015,성북구,4154,2729,5,5,5,4,150,124,1785,741,2209,1855,469560,0.4154
2015,송파구,6778,4113,11,10,13,10,220,178,3239,1129,3295,2786,667480,0.6778
2015,양천구,4528,2815,3,5,6,3,120,105,1890,672,2509,2030,489010,0.4528
2015,영등포구,6867,4154,14,12,22,20,295,183,2964,978,3572,2961,417811,0.6867
2015,용산구,3820,2483,5,5,14,14,194,173,1557,587,2050,1704,247909,0.382
2015,은평구,4745,3167,3,3,9,6,166,141,1914,711,2653,2306,502578,0.4745
2015,종로구,4705,4430,6,8,11,13,211,1139,2184,1145,2293,2125,163822,0.4705
2015,중구,4954,2942,3,2,9,6,170,111,2548,859,2224,1964,134329,0.4954
